route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
16,27818437,"Le Pont-de-Claix, Gendarmerie",1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,1,SEM_16_2,1,2
E,28110764,"Fontanil-Cornillon, Palluel",12345-MGHLV07_ST0_7_HI2324-MGHLV09_ST0_9_HI2324-MGHLV10_ST0_10_HI2324-MGHLV11_ST0_11_HI2324-MGHLV13_ST0_13_HI2324,1,SEM_E_1,1,2
3,28030542,"Échirolles, Centre du graphisme",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,1,SEM_C3_2,1,2
13,28029679,"Meylan, Lycée du Grésivaudan",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,1,SEM_13_2,1,2
13,27985834,"Poisat, Cimetière Intercommunal",1234567-MEHS00_ST5_0_HI2324-MEHS03_ST5_3_HI2324-MEHS04_ST5_4_HI2324,0,SEM_13_5,1,2
E,28075709,"Fontanil-Cornillon, Palluel",1234567-MGHS03_ST5_3_HI2324,1,SEM_E_1,1,2
E,28112058,"Grenoble, Louise Michel",12345-MGHLV12_ST0_12_HI2324,0,SEM_E_2,1,2
19,28144452,"Sassenage, L'Ovalie",1234567-MSHSAH05_ST5_5_HI2324,1,SEM_19_2,1,2
22,27809795,"Saint-Égrève, Saint Egrève Gare",12345-MSHLVH02_ST8_2_HI2324-MSHLVH03_ST8_3_HI2324-MSHLVH04_ST8_4_HI2324-MSHLW02_ST11_2_HI2324-MSHLW03_ST11_3_HI2324-MSHLW04_ST11_4_HI2324,0,SEM_22_1,1,2
40,28019401,"Grenoble, Le Rabot",1234567-MFHD06_ST6_6_HI2324-MFHD08_ST6_8_HI2324,0,,1,2
A,27995562,"Fontaine, La Poya",12345-MEILV08_ST21_8_HI2324,1,SEM_A_4,1,2
A,28214912,"Le Pont-de-Claix, L'Etoile",1234567-MEHS03_ST5_3_HI2324,0,SEM_A_3,1,2
B,28129001,"Gières, Plaine des Sports",12345-MGHLV09_ST0_9_HI2324,0,SEM_B_1,1,2
A,28110043,"Le Pont-de-Claix, L'Etoile",12345-MEHLV03_ST8_3_HI2324,0,SEM_A_3,1,2
5,28086941,"Gières, Universités - Biologie",12345-MSHLVH02_ST8_2_HI2324-MSHLW02_ST11_2_HI2324,1,SEM_C5_2,1,2
22,27810086,"Saint-Égrève, Saint Egrève Gare",1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,0,SEM_22_1,1,2
4,28030657,"Eybens, Le Verderet",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,0,SEM_C4_1,1,2
A,27995621,"Fontaine, La Poya",12345-MEILV08_ST21_8_HI2324,1,SEM_A_4,1,2
A,27985494,"Le Pont-de-Claix, L'Etoile",1234567-MEHS00_ST5_0_HI2324-MEHS04_ST5_4_HI2324,0,SEM_A_3,1,2
C,27946930,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGHLV07_ST0_7_HI2324-MGHLV09_ST0_9_HI2324,0,SEM_C_1,1,2
A,28031451,"Fontaine, La Poya",12345-MEHLV04_ST8_4_HI2324-MEHW04_ST11_4_HI2324,1,SEM_A_4,1,2
A,28110112,"Fontaine, La Poya",12345-MEHLV03_ST8_3_HI2324,1,SEM_A_4,1,2
2,27995054,"Grenoble, Louise Michel",12345-MEILV08_ST21_8_HI2324,1,SEM_C2_1,1,2
C,28070342,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGHLV11_ST0_11_HI2324-MGHLV12_ST0_12_HI2324,0,SEM_C_1,1,2
50,27934798,"Sassenage, Les Côtes",12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,1,SEM_50_1,1,2
5,28096698,"Grenoble, Palais de Justice - Gare",1234567-MSHDF04_ST6_4_HI2324-MSHDF07_ST6_7_HI2324,0,SEM_C5_1,1,2
2,27984940,"Claix, Pont Rouge",1234567-MEHS00_ST5_0_HI2324-MEHS04_ST5_4_HI2324,0,SEM_C2_2,1,2
14,28009383,"Grenoble, Verdun - Préfecture",1234567-MAHD01_ST6_1_HI2324-MAHD02_ST6_2_HI2324,0,SEM_14_5,1,2
2,28211437,"Claix, Pont Rouge",1234567-MEHD01_ST6_1_HI2324,0,SEM_C2_2,1,2
3,28030488,"Échirolles, Centre du graphisme",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,1,SEM_C3_2,1,2
67,28018102,"Herbeys, Herbeys Le Bourg",12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,1,SEM_67_1,1,2
A,28214847,"Le Pont-de-Claix, L'Etoile",1234567-MEHS03_ST5_3_HI2324,0,SEM_A_3,1,2
20,27743545,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",1234567-MSHDF04_ST6_4_HI2324-MSHDF05_ST6_5_HI2324,0,SEM_20_3,1,2
